"filename", "language", "TypeScript", "JSON", "JSON with Comments", "PostCSS", "TypeScript JSX", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"d:\ProyectoDaira\HotelesClient\README.md", "Markdown", 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"d:\ProyectoDaira\HotelesClient\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"d:\ProyectoDaira\HotelesClient\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\ProyectoDaira\HotelesClient\package-lock.json", "JSON", 0, 4692, 0, 0, 0, 0, 0, 0, 0, 1, 4693
"d:\ProyectoDaira\HotelesClient\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\ProyectoDaira\HotelesClient\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 37
"d:\ProyectoDaira\HotelesClient\src\Hooks\EliminarHook.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\ProyectoDaira\HotelesClient\src\Hooks\useContador.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 1, 10, 62
"d:\ProyectoDaira\HotelesClient\src\Hooks\useVerPorID.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\ProyectoDaira\HotelesClient\src\components\AdminPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 350, 0, 0, 0, 7, 23, 380
"d:\ProyectoDaira\HotelesClient\src\components\AgregarHabitaciones.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 5, 16, 154
"d:\ProyectoDaira\HotelesClient\src\components\CardEstadistica.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\ProyectoDaira\HotelesClient\src\components\CardHotel.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 4, 8, 74
"d:\ProyectoDaira\HotelesClient\src\components\Carrusel.tsx", "TypeScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 3, 11, 89
"d:\ProyectoDaira\HotelesClient\src\components\CrearCuenta.tsx", "TypeScript JSX", 0, 0, 0, 0, 273, 0, 0, 0, 6, 32, 311
"d:\ProyectoDaira\HotelesClient\src\components\CrearHotel.tsx", "TypeScript JSX", 0, 0, 0, 0, 290, 0, 0, 0, 36, 34, 360
